site,category,prefire_load_tonsPerAcre,postfire_load_tonsPerAcre,consumption_tonsPerAcre,percent_consumed,Consume21_predictedConsumption_siteFuelMoisture,Consume42_predictedConsumption_siteFuelMoisture,Consume21_predictedConsumption_fallAveFuelMoisture,Consume42_predictedConsumption_fallAveFuelMoisture,Consume21_predictedConsumption_springAveFuelMoisture,Consume42_predictedConsumption_springAveFuelMoisture
Goat,hr_100,1.6,   NA,   NA,   NA,   NA,   NA,1.31,1.26,0.91,1.26
Goat,hr_1000S,3.42,   NA,   NA,   NA,   NA,   NA,0.95,1.84,0.15,0.16
Goat,hr_1000R,2.46,   NA,   NA,   NA,   NA,   NA,0.47,1.5,0.07,0.27
Goat,litter,2.65,   NA,   NA,   NA,   NA,   NA,1.76,2.65,1.26,1.18
Goat,duff,17.88,   NA,   NA,   NA,   NA,   NA,9.01,4.51,4.41,0
Goat,herb,0.1,   NA,   NA,   NA,   NA,   NA,0.1,0.09,0.1,0.09
Goat,shrub,0,   NA,   NA,   NA,   NA,   NA,0,0,0,0
Goat,Total,29.4,   NA,   NA,   NA,   NA,   NA,14.75,12.99,8.05,4.1
Natapoc,hr_1,1.46,   NA,   NA,   NA,   NA,   NA,1.46,1.46,1.46,1.46
Natapoc,hr_10,4.34,   NA,   NA,   NA,   NA,   NA,3.93,3.75,3.93,3.75
Natapoc,hr_100,6.06,   NA,   NA,   NA,   NA,   NA,5.18,4.75,4.79,4.75
Natapoc,hr_1000S,13.1,   NA,   NA,   NA,   NA,   NA,4.52,8.4,0.73,0.72
Natapoc,hr_1000R,10.28,   NA,   NA,   NA,   NA,   NA,1.96,7.25,0.3,2.05
Natapoc,litter,2.15,   NA,   NA,   NA,   NA,   NA,1.38,2.15,0.93,0.96
Natapoc,duff,14.27,   NA,   NA,   NA,   NA,   NA,6.94,3.6,2.9,0
Natapoc,herb,0.17,   NA,   NA,   NA,   NA,   NA,0.17,0.16,0.17,0.16
Natapoc,shrub,0.44,   NA,   NA,   NA,   NA,   NA,0.31,0.29,0.31,0.29
Natapoc,Total,52.27,   NA,   NA,   NA,   NA,   NA,25.85,31.81,15.52,14.14
Oak Creek,hr_1,0.42,   NA,   NA,   NA,   NA,   NA,0.42,0.42,0.42,0.42
Oak Creek,hr_10,1.03,   NA,   NA,   NA,   NA,   NA,0.9,0.89,0.9,0.89
Oak Creek,hr_100,1.5,   NA,   NA,   NA,   NA,   NA,1.22,1.18,0.83,1.18
Oak Creek,hr_1000S,10.03,   NA,   NA,   NA,   NA,   NA,2.31,4.4,0.36,0.42
Oak Creek,hr_1000R,7.89,   NA,   NA,   NA,   NA,   NA,1.5,5.07,0.23,0.97
Oak Creek,litter,1.21,   NA,   NA,   NA,   NA,   NA,0.65,1.21,0.3,0.54
Oak Creek,duff,19.55,   NA,   NA,   NA,   NA,   NA,9.98,4.93,5.12,0
Oak Creek,herb,0.11,   NA,   NA,   NA,   NA,   NA,0.11,0.1,0.11,0.1
Oak Creek,shrub,0.02,   NA,   NA,   NA,   NA,   NA,0.01,0.01,0.01,0.01
Oak Creek,Total,41.76,   NA,   NA,   NA,   NA,   NA,17.1,18.21,8.28,4.53
UR-1,hr_1,0.15,   NA,   NA,   NA,   NA,   NA,0.15,0.15,0.15,0.15
UR-1,hr_10,0.76,   NA,   NA,   NA,   NA,   NA,0.65,0.66,0.65,0.66
UR-1,hr_100,1.87,   NA,   NA,   NA,   NA,   NA,1.54,1.47,1.15,1.47
UR-1,hr_1000S,2.04,   NA,   NA,   NA,   NA,   NA,0.7,1.31,0.12,0.11
UR-1,hr_1000R,6.7,   NA,   NA,   NA,   NA,   NA,1.28,3.52,0.2,0.83
