projectName,unitName,epShort,samplingStartDate,SampleMaterial,sampleNo,depth_mm,grossWetWt_g,wetContWt_g,grossDryWt_g,dryContWt_g
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,14,,497.58,20,469.1,49.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,15,,2330.92,51.1,1950.1,113.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,16,,435.28,19.9,354.3,50.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,17,,263.21,19.9,256.2,40.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,18,,822.74,20,753.5,50
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,19,,423.91,19.9,410.2,46.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,20,,649.16,20.1,502.2,37.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 100-hr,1,,205.15,19.9,195.6,31.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 100-hr,2,,308.09,19.9,281.7,30.4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 100-hr,3,,206.48,19.9,207.8,39.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 100-hr,4,,131.61,19.9,126.4,30.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 100-hr,5,,262.29,19.9,250.9,36.4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 100-hr,6,,220.55,19.9,211.8,35.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 100-hr,7,,234.95,19.9,227.6,35.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 100-hr,8,,257.31,19.9,246,37.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 100-hr,9,,343,19.9,316.3,32.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 100-hr,10,,212.32,19.9,190.4,20.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 10-hr,1,,357.19,19.9,349.3,53.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 10-hr,2,,370.83,19.9,354.5,51.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 10-hr,3,,403.69,19.8,390.3,57.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 10-hr,4,,384.72,19.8,380.2,63.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 10-hr,5,,381.22,19.8,365.8,52.4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 10-hr,6,,384.57,19.9,362.6,47.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 10-hr,7,,348.51,19.9,332.6,50.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 10-hr,8,,651.95,19.9,608,60.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 10-hr,9,,425.09,19.9,398.9,47.4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 10-hr,10,,436.96,19.9,419.8,67.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1-hr,1,,76.58,19.9,97.5,47.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1-hr,2,,73.23,19.9,94.2,47.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1-hr,3,,73.37,19.9,88.9,41.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1-hr,4,,61.73,18.5,91.8,53.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1-hr,5,,74.92,18.5,96.2,46.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1-hr,6,,71.27,18.5,100.9,54.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1-hr,7,,76.53,18.5,103,51.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1-hr,8,,71.77,18.5,101.4,54.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1-hr,9,,93.74,18.5,116.8,49.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1-hr,10,,97.49,18.5,126.1,56.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: F Layer,1,,264.15,18.5,273.1,63.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: F Layer,2,,190.05,19.21,188.3,41.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: F Layer,3,,270.27,19.21,241.8,46.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: F Layer,4,,272.12,18.5,277.1,59.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: F Layer,5,,161.52,18.5,178.2,54.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: F Layer,6,,238.7,18.5,233.7,44.4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: F Layer,7,,196.66,18.5,209.9,55.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: F Layer,8,,178.68,19.96,189.2,54.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: F Layer,9,,207.73,19.96,212.8,49.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: F Layer,10,,248.47,19.96,248.5,53.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Grass,1,,66.63,19.9,87.6,53.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Grass,2,,106.4,19.9,105.3,46.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Grass,3,,75.03,19.9,86.7,49.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Grass,4,,72.9,19.9,84.5,47.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Grass,5,,86.38,19.9,96.1,47
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Grass,6,,77.27,19.9,90.1,54.4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Grass,7,,83.62,19.9,94.9,54.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Grass,8,,88.68,19.9,94.2,50.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Grass,9,,74.18,19.9,93.5,56.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Grass,10,,67.37,19.9,70.6,41.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Litter,1,,119.74,19.96,142.4,53.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Litter,2,,107.16,19.96,106.7,28.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Litter,3,,79.65,19.96,97.8,44.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Litter,4,,93.01,19.96,96.4,31.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Litter,5,,97.03,19.96,275.5,204.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Litter,6,,113.03,19.96,147.1,64.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Litter,7,,100.7,19.96,284,212.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Litter,8,,99.2,19.96,104.3,35.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Litter,9,,132.16,19.96,136,37.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Litter,10,,118,19.96,294.4,207.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Shrubs,1,,97.7,20,96.3,51.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Shrubs,2,,87.37,20,83.8,47.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Shrubs,3,,166,20,282.3,204.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Shrubs,4,,93.34,20,89,47
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Shrubs,5,,125.81,20,261.3,205.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Shrubs,6,,48.06,20,75.3,57.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Shrubs,7,,64.17,20,75.7,52.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Shrubs,8,,58.19,20,70.4,50.3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Shrubs,9,,50.95,20,78.1,60.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Shrubs,10,,54.42,20,86,67.6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,1,,1276.6,31.06,1176.2,204.3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,2,,634.1,20.1,511.5,52
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,3,,584.6,20.1,554.9,50.5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,4,,621.9,20.1,493.2,49.7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,5,,889.2,20.1,662.9,48.1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,6,,276.2,20.1,240.5,37.1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,7,,285.2,20.1,270,44.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,8,,576.4,20.1,404.5,54
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,9,,663.8,20.1,589.2,61.2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,10,,474.7,20.1,445.9,49.2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,11,,1044.9,20,762,60.7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,12,,73.6,20,77.8,28.1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,14,,676.2,20,647.2,51.2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,15,,383.6,20,359.3,43.1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,16,,1236.7,20,1219.8,208.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,17,,193.2,20,194.1,39.5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,18,,274.8,20,278.7,62.3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,19,,901.3,20,616.5,58.1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1000-hr,20,,160.7,20,153.3,29.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 100-hr,1,,362.5,20,332.6,38.4
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 100-hr,2,,337.9,20,314.6,29.7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 100-hr,3,,265.5,20,226.6,34.7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 100-hr,4,,221.3,20,201.9,20.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 100-hr,5,,501.7,20,493.5,59.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 100-hr,6,,378.7,20,379.4,55.3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 100-hr,7,,344.1,20,333.6,42.2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 100-hr,8,,471.2,20,471.3,60.2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 100-hr,9,,229.9,20,249.2,55.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 100-hr,10,,422.1,20,425.2,57.6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 10-hr,1,,295.3,20,292.5,47.6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 10-hr,2,,344.7,20,392.6,47.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 10-hr,3,,380.1,20,380.6,56.6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 10-hr,4,,411.5,20,408.3,50.4
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 10-hr,5,,450,20,446.8,57.4
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 10-hr,6,,277.8,20,288.5,50.4
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 10-hr,7,,306.8,20,298.5,42.1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 10-hr,8,,366.9,20,357.8,42.6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 10-hr,9,,331.9,20,339.6,55.1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 10-hr,10,,371.6,20,378.4,53.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1-hr,1,,167.1,20,189.2,54.2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1-hr,2,,125.7,20,147.8,51.3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1-hr,3,,150.5,20,169.2,50.2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1-hr,4,,132.1,20,150.3,46.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1-hr,5,,140.9,20,159.4,48.1
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1-hr,6,,112.7,20,147.4,62.7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1-hr,7,,101.7,20,132,56.2
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1-hr,8,,128.4,20,159,60.5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1-hr,9,,127.8,20,157.8,59.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,Downed Woody: 1-hr,10,,128.8,20,139.3,40.3
