Fuelbeds,Filename,Consume_model,Scenario,Total Consumption,Shrub Consumption,Herb Consumption,Wood Consumption,LLM Consumption,Ground Consumption,C_wood_1hr,C_wood_10hr,C_wood_100hr,C_wood_S1000hr,C_wood_R1000hr,C_wood_S10khr,C_wood_R10khr,C_wood_S+10khr,C_wood_R+10khr,Consumption_1000h Sound,Consumption_1000h Rotten
ShermanCreek,FB_0052_ShermanCreek_2017.xml,2.1,Fall 2016_average,12.46,0.06,0.27,4.09,1.30,6.74,0.03,0.78,1.52,,,,,,,1.42,0.34
8Mile,FB_0052_8Mile_2017.xml,2.1,Fall 2016_average,14.23,0.36,0.07,4.61,1.76,7.43,0.19,1.03,1.47,,,,,,,1.18,0.74
Canteen,FB_0052_Canteen_2017.xml,2.1,Fall 2016_average,23.55,0.06,0.22,9.45,0.60,13.22,0.54,2.36,3.54,,,,,,,1.36,1.65
Goat,FB_0052_Goat_2017.xml,2.1,Fall 2016_average,14.75,0.00,0.10,3.88,1.76,9.01,0.18,0.97,1.31,,,,,,,0.95,0.47
OakCreek,FB_0052_OakCreek_2017.xml,2.1,Fall 2016_average,17.10,0.01,0.11,6.35,0.65,9.98,0.42,0.90,1.22,,,,,,,2.31,1.50
UR1,FB_0052_UR1_2017.xml,2.1,Fall 2016_average,19.74,0.05,0.02,4.32,1.44,13.91,0.15,0.65,1.54,,,,,,,0.70,1.28
Natapoc,FB_0052_Natapoc.xml,2.1,Fall 2016_average,25.85,0.31,0.17,17.05,1.38,6.94,1.46,3.93,5.18,,,,,,,4.52,1.96
Vulcan,FB_0052_Vulcan.xml,2.1,Fall 2016_average,23.79,0.25,0.05,6.71,1.04,15.74,0.34,1.43,2.46,,,,,,,1.32,1.16
Hanlon,FB_0052_Hanlon.xml,2.1,Fall 2016_average,11.61,0.22,0.01,3.33,1.11,6.94,0.42,1.12,0.91,,,,,,,0.39,0.49
25Mile,FB_0052_25Mile_2017.xml,2.1,Spring 2017_average,4.09,0.08,0.16,1.71,2.14,0.00,0.07,0.66,0.66,,,,,,,0.23,0.09
Angel,FB_0052_Angel.xml,2.1,Spring 2017_average,5.25,0.09,0.06,2.38,1.13,1.59,0.38,0.95,0.80,,,,,,,0.11,0.14
Chumstick,FB_0052_Chumstick.xml,2.1,Spring 2017_average,5.67,0.03,0.03,3.27,2.34,0.00,0.12,1.13,1.88,,,,,,,0.14,0.00
Orion,FB_0052_Orion.xml,2.1,Spring 2017_average,2.94,0.05,0.14,0.75,1.17,0.83,0.01,0.44,0.25,,,,,,,0.03,0.02
Paradise90,FB_0052_Paradise90.xml,2.1,Spring 2017_average,13.10,0.27,0.05,2.91,0.52,9.35,0.26,1.32,0.95,,,,,,,0.30,0.08
ShermanCreek,FB_0052_ShermanCreek_2017.xml,2.1,Spring 2017_average,6.15,0.06,0.27,2.22,0.85,2.75,0.03,0.78,1.13,,,,,,,0.23,0.05
8Mile,FB_0052_8Mile_2017.xml,2.1,Spring 2017_average,7.65,0.36,0.07,2.71,1.26,3.25,0.19,1.03,1.08,,,,,,,0.20,0.21
Canteen,FB_0052_Canteen_2017.xml,2.1,Spring 2017_average,14.59,0.06,0.22,6.53,0.29,7.49,0.54,2.36,3.15,,,,,,,0.22,0.26
Goat,FB_0052_Goat_2017.xml,2.1,Spring 2017_average,8.05,0.00,0.10,2.28,1.26,4.41,0.18,0.97,0.91,,,,,,,0.15,0.07
OakCreek,FB_0052_OakCreek_2017.xml,2.1,Spring 2017_average,8.28,0.01,0.11,2.74,0.30,5.12,0.42,0.90,0.83,,,,,,,0.36,0.23
UR1,FB_0052_UR1_2017.xml,2.1,Spring 2017_average,11.30,0.05,0.02,2.27,0.97,7.99,0.15,0.65,1.15,,,,,,,0.12,0.20
Natapoc,FB_0052_Natapoc.xml,2.1,Spring 2017_average,15.52,0.31,0.17,11.21,0.93,2.90,1.46,3.93,4.79,,,,,,,0.73,0.30
Vulcan,FB_0052_Vulcan.xml,2.1,Spring 2017_average,14.51,0.25,0.05,4.24,0.62,9.35,0.34,1.43,2.07,,,,,,,0.22,0.18
Hanlon,FB_0052_Hanlon.xml,2.1,Spring 2017_average,6.00,0.22,0.01,2.19,0.68,2.90,0.42,1.12,0.51,,,,,,,0.06,0.08
