projectName,unitName,plotNo,cardinalDirection,SMDepth_mm,SMMaterial,duffDepth_mm,DuffMaterial,ParentMaterial,,
Washington DNR Pilot Project,Goat,16,S,13,SF,36,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,17,E,15,SF,45,SF,Rock,,
Washington DNR Pilot Project,Goat,17,N,3,SF,12,WR,Mineral soil,,
Washington DNR Pilot Project,Goat,17,W,5,SF,0,ND,Mineral soil,,
Washington DNR Pilot Project,Goat,18,N,4,SF,3,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,19,E,2,SF,1,WR,Mineral soil,,
Washington DNR Pilot Project,Goat,19,N,12,SF,2,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,19,S,18,SF,8,SF,Mineral soil,,
Washington DNR Pilot Project,Goat,19,W,32,SF,12,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,7,S,21,GR,45,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,7,W,8,GR,37,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,8,W,9,GR,45,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,12,E,18,GR,20,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,12,S,11,GR,3,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,13,E,11,GR,9,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,13,S,4,GR,28,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,13,W,25,GR,4,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,17,E,12,GR,30,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,17,S,8,GR,6,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,10,S,17,LP,63,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,12,W,19,LP,21,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,14,N,7,LP,28,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,15,E,35,LP,85,LP,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,15,N,29,LP,51,LP,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,15,W,12,LP,10,LP,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,16,S,8,LP,3,LP,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,17,N,2,LP,1,LP,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,1,E,19,SF,44,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,1,N,13,SF,62,WR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,1,S,14,SF,34,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,1,W,11,SF,38,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,3,E,4,SF,31,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,3,N,10,SF,53,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,3,S,31,SF,25,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,3,W,12,SF,53,SF,Mineral soil,,
